id,Group number,Group name,Username,Sex,Role,PR-SEP-D,PR-SEP-D.Q1,PR-SEP-D.Q2,PR-SEP-D.Q3,PR-SEP-D.Q4,PR-SEP-D.Q5,PR-SEP-D.Q6,PR-SEP-D.Q7,PR-SEP-D.Q8,PR-SEP-TC,PR-SEP-TC.Q1,PR-SEP-TC.Q2,PR-SEP-TC.Q3,PR-SEP-TC.Q4,PR-SEP-TC.Q5,PR-SEP-TC.Q6,PR-SEP-TC.Q7,PR-SEP-TC.Q8,PO-SEC,PO-SEC.Q1,PO-SEC.Q2,PO-SEC.Q3,PO-SEC.Q4,PO-SEC.Q5,PO-SEC.Q6,PO-SEC.Q7,PO-SEC.Q8,PO-SEC.Q9,PO-SEC.Q10,PO-SEC.Q11,PO-SEC.Q12,PO-SEC.Q13,PO-SEC.Q14,PO-SEC.Q15,PO-SEC.Q16,PO-SEP-D,PO-SEP-D.Q1,PO-SEP-D.Q2,PO-SEP-D.Q3,PO-SEP-D.Q4,PO-SEP-D.Q5,PO-SEP-D.Q6,PO-SEP-D.Q7,PO-SEP-D.Q8,PO-SEP-TC,PO-SEP-TC.Q1,PO-SEP-TC.Q2,PO-SEP-TC.Q3,PO-SEP-TC.Q4,PO-SEP-TC.Q5,PO-SEP-TC.Q6,PO-SEP-TC.Q7,PO-SEP-TC.Q8,PO-ETP,PO-ETP.Q1,PO-ETP.Q2,PO-ETP.Q3,PO-ETP.Q4,PO-ETP.Q5,PO-ETM1,PO-ETM1-role,PO-ETM1.Q1,PO-ETM1.Q2,PO-ETM1.Q3,PO-ETM1.Q4,PO-ETM1.Q5,PO-ETM2,PO-ETM2-role,PO-ETM2.Q1,PO-ETM2.Q2,PO-ETM2.Q3,PO-ETM2.Q4,PO-ETM2.Q5,PO-PLA,PO-PLA.Q1,PO-PLA.Q2,PO-PLA.Q3,PO-PLA.Q4,PO-PLA.Q5,PO-PLA.Q6,PO-PLA.Q7,total interactions,msg,trm,cmd,cmd 1,cmd 0,catégorisation entraide,Demande d'aide,Aide proposée,Aide acceptée,Aide refusée,Hors tâche,Non consensuel
p11,4,YOHA,christian,M,Fournisseur,60,3,1,3,4,4,2,3,4,80,4,4,4,4,4,4,4,4,68.75,5,4,3,2,2,3,3,2,4,4,4,5,5,1,4,4,57.5,3,2,3,3,2,3,3,4,77.5,4,4,3,4,4,3,4,5,52,4,2,2,2,3,60,Gestionnaire,3,3,3,3,3,80,Client,4,4,4,4,4,,2,5,Les deux,Poser des questions et y répondre lorsqu'on avait des problèmes.,Regarder les collègues en difficulté lorsqu'ils demandaient de l'aide afin de mieux les aider. Et m'inspirer de leur travail pour m'aider dans la réalisation de mon script.,Pouvoir avoir accès aux commandes récemment tapées par mes collègues afin de soit: les aider lorsqu'ils ont des problèmes ou alors comprendre où sont nos erreurs lorsque un collègue à réussi à résoudre un problème qui m’embêtais.,Au départ le fait de ne pas connaître mes collègues ( et réciproquement ) provoque une tendance au travail solitaire jusqu'à un obstacle non surmonté par un des membres du groupe ( c'est à ce moment là que la discussion autre que les tests à réellement commencé pour nous ).,113,24,73,16,14,2,,8,9,5,0,2,0
p12,4,YOHA,christophe,M,Gestionnaire,65,2,2,3,5,4,3,3,4,82.5,4,4,4,4,4,4,4,5,68.75,3,3,3,2,2,3,3,3,4,5,5,5,5,1,5,3,57.5,3,2,3,3,3,3,1,5,77.5,4,4,3,4,4,3,4,5,72,3,3,4,3,5,64,Fournisseur,3,3,3,3,4,68,Client,3,3,3,3,5,,2,4,Les deux,A présenter nos problèmes et discuter d'une solution,à observer le script des autres pour les aider à trouver leurs erreurs,,,140,15,89,36,24,12,,4,7,0,0,3,1
p13,5,PHIL,edgard,M,Client,77.5,4,4,4,4,4,3,3,5,75,4,4,4,4,4,3,3,4,70,2,3,4,3,4,4,4,3,5,2,3,5,5,1,5,3,70,4,3,4,3,4,3,2,5,85,4,3,3,5,5,4,5,5,68,4,2,4,3,4,76,Gestionnaire,4,3,4,4,4,68,Fournisseur,3,3,3,4,4,,2,5,Les deux,Répondre à des questions posées dans le chat,Voire difficultés,Offrir les commandes basiques,,72,5,30,37,24,13,,0,4,0,0,1,0
p14,5,PHIL,edouard,M,Fournisseur,60,3,3,3,3,3,3,3,3,60,3,3,3,3,3,3,3,3,61.25,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,60,3,3,3,3,3,3,3,3,60,3,3,3,3,3,3,3,3,60,3,3,3,3,3,60,Client,3,3,3,3,3,60,Gestionnaire,3,3,3,3,3,,3,3,"L'outil de messagerie instantanée, L'outil de vue partagée",A communiqué pour les différentes lignes du script.,A vérifier les lignes entrées.,"Une pop-up d'alertes de réception de message, une modification avec l'accès à des bibliothèques pour les différents utilisation du Terminal à côté de du Terminal un peu comme à la Visual Studio Code et avec lequel on pourrait très bien pouvoir désactiver le module : Exemple du module Python pour le terminal.
 
 Après générez une gestion de profil ne serait peut être qu'un luxe mais cela peut être utile.
 
 Une commande vocale dans la tchatbox permettant de pouvoir parler en live avec les autres personnes à la manière de discord.
 
 Un éditeur de texte dans une fenêtre en dessous de la liste des personnes disponibles qui permettraient justement l'aide des corrections syntaxiques pour éviter les fautes : Exemple dans les scripts quand il manque une Accolade ou autre.",O/,27,12,7,8,8,0,,4,2,3,0,3,0
p15,5,PHIL,elise,F,Gestionnaire,82.5,4,4,3,5,4,4,5,4,92.5,5,5,4,5,4,5,5,4,61.25,3,4,5,2,1,2,1,2,5,1,4,5,5,1,5,3,47.5,1,1,2,3,2,3,4,3,70,3,4,2,3,4,4,4,4,52,3,2,2,3,3,60,Client,3,3,3,3,3,60,Fournisseur,3,3,3,3,3,,1,4,Les deux,Pour demander des questions et préciser des choses vis-à-vis des questions des autres,Pour voir si je pouvais m'inspirer des autres scripts pour faire le mien,"Avoir un ""bureau"" pour vérifier que ce que l'on a fait est correct","L'utilisation de l'application est assez facile, l'exercice en lui-même était compliqué puisqu'il faut des connaissances en shell, qu'on n'a pas forcément...",28,6,6,16,11,5,,0,2,0,0,4,0
p16,6,TALM,ernest,M,Client,57.5,3,2,3,2,2,3,4,4,72.5,4,5,4,3,4,4,3,2,61.25,3,3,4,1,1,3,1,3,5,1,3,5,5,1,5,5,60,3,3,4,1,3,3,3,4,87.5,5,5,4,3,4,4,5,5,88,5,3,4,5,5,80,Gestionnaire,5,4,5,3,3,80,Fournisseur,5,4,5,3,3,,5,5,Les deux,s'aider sur differents points des scripts et des commande,chercher nos erreurs entre nous,Une discussion vocal principalement,Un manque de temps seulement pour ecrire mon script,151,31,116,4,1,3,,8,3,9,0,11,0
p17,6,TALM,etienne,M,Fournisseur,60,4,1,4,2,3,2,4,4,80,4,4,3,4,4,4,5,4,87.5,4,5,5,5,5,4,3,2,4,5,5,5,5,5,5,3,45,2,1,2,1,2,4,2,4,87.5,4,5,1,5,5,5,5,5,76,4,5,3,3,4,80,Gestionnaire,5,4,3,4,4,88,Client,5,5,4,4,4,,1,5,"L'outil de messagerie instantanée, L'outil de vue partagée, Les deux",ecrire les commandes que les autres devaient rentrer,vérifier qu'il rentrait les bonnes commandes,"Un chat vocal,
 ET EN PRIORITE UNE DOC SUR LE SHELL sur les commandes a utiliser pendant le TP, en soit, une aide.",On avait pas les connaissances en SHELL requise pour faire ce TD on s'est pas mal aidés d'Internet,61,38,5,18,10,8,,3,27,1,0,7,0
p18,6,TALM,fabien,M,Gestionnaire,77.5,4,3,4,4,4,4,4,4,82.5,5,4,4,4,4,4,4,4,68.75,2,4,4,3,4,4,3,3,2,4,4,5,4,2,4,3,67.5,4,2,3,4,3,4,2,5,72.5,4,4,3,4,3,3,4,4,80,4,4,4,4,4,80,Client,4,4,4,4,4,80,Fournisseur,4,4,4,4,4,,2,4,"L'outil de messagerie instantanée, L'outil de vue partagée, Les deux",Cela m'a servi pour des questions de cours et pour l'avancement du travail,cela m'a servi à me vérifier en me comparant avec les autres afin de discuter des différents soucis possibles,je pense que cette plate-forme collaborative est assez complète,Aucun problème,87,33,26,28,25,3,,16,4,4,0,9,0
p19,7,THOM,florent,M,Client,37.5,2,1,2,1,2,3,3,1,80,5,3,5,5,4,2,4,4,70,5,3,5,3,3,3,3,3,5,1,1,5,5,3,5,3,37.5,2,1,2,1,2,3,3,1,87.5,5,3,5,4,5,4,5,4,68,3,5,5,2,2,100,Gestionnaire,5,5,5,5,5,100,Fournisseur,5,5,5,5,5,,2,5,Les deux,pour s'aider quand on est bloqué,pour voir comment les autres on fait ce qu'on a a faire,,le niveau en maitrise du shell etait trop haut pour moi,108,20,51,37,22,15,,9,7,3,0,1,0
p20,7,THOM,firmin,M,Fournisseur,60,3,2,3,3,4,3,4,2,97.5,5,5,5,5,5,5,5,4,82.5,4,3,3,3,5,4,3,3,5,3,5,5,5,5,5,5,45,2,2,2,2,2,2,3,3,92.5,5,5,3,5,5,5,5,4,96,5,5,5,4,5,64,Gestionnaire,5,1,3,4,3,68,Client,4,1,4,5,3,,4,5,Les deux,le chat nous à servi pour communiquer et résoudre des problème posé à un membre du groupe,afin de pouvoir vérifié le scripte de mes collaborateur dans ce TD,,,55,20,10,25,22,3,,11,8,1,0,0,0
p21,7,THOM,falba,F,Gestionnaire,57.5,2,2,3,3,3,3,4,3,77.5,4,4,4,4,4,3,4,4,58.75,2,5,1,1,5,2,2,2,3,3,4,5,5,1,3,3,52.5,1,5,2,3,3,2,3,2,65,3,4,3,3,3,3,3,4,48,2,3,3,2,2,56,Client,3,2,3,3,3,56,Fournisseur,3,2,3,3,3,,1,4,Les deux,pour échanger des commandes,pour observer les reponses des autres,,,53,16,18,19,13,6,,5,8,1,0,2,0
p22,8,LEVY,florian,M,Client,67.5,4,3,3,2,3,4,3,5,85,5,5,3,5,3,4,4,5,55,1,2,2,2,4,2,3,2,5,1,1,5,5,1,5,3,55,3,3,2,3,2,3,3,3,50,2,4,3,3,2,2,2,2,52,2,1,3,4,3,48,Gestionnaire,3,2,2,3,2,44,Fournisseur,3,2,2,2,2,,1,4,Les deux,S'aider,Pour regarder les erreurs de l'autre,Rien,,29,3,4,22,20,2,,2,0,0,0,1,0
p23,8,LEVY,jeanne,F,Fournisseur,75,4,3,4,4,4,3,4,4,87.5,5,5,4,5,4,4,4,4,63.75,3,3,4,2,3,3,3,2,3,3,3,5,5,1,5,3,55,3,2,3,3,2,2,3,4,75,3,3,3,3,5,3,5,5,56,3,3,3,2,3,56,Gestionnaire,3,3,2,3,3,72,Client,3,3,4,4,4,,5,5,Les deux,elle m'a servit à m'adresser à des membres de mon équipe en particulier quand j'eatais en difficulté,à voir ce que faisait mon camarade pour pouvoir m'inspirer,je trouve que la plate-forme est pratique comme elle est,,134,3,89,42,37,5,,3,0,0,0,0,0
p24,8,LEVY,germain,M,Gestionnaire,50,2,1,3,2,2,3,4,3,82.5,5,3,4,4,4,4,4,5,53.75,3,5,1,1,3,2,2,2,3,3,2,4,3,4,4,1,40,1,1,2,1,2,2,4,3,42.5,1,2,1,4,2,2,2,3,52,4,1,3,2,3,48,Client,3,2,2,3,2,36,Fournisseur,2,1,2,2,2,,2,4,Les deux,A poser des questions sur ce que je devais faire et que je ne comprennais pas trop,Il m'a servi à me rappeler de choses que j'avais oublié partiellement et à voir un petit peu ce que faisait les autres,"Pas grand chose, la plateforme est bien",Pas de communication au sein du groupe et un exercice un peu dur même si je dois avouer que mon niveau dans cette matière est assez excécrable,146,7,130,9,8,1,,3,0,1,0,3,0
p25,9,ALPH,claude,M,Client,72.5,4,3,3,4,2,4,4,5,87.5,4,5,4,4,4,4,5,5,63.75,4,5,1,1,1,2,3,2,5,4,3,5,5,1,5,4,60,3,2,2,3,4,4,2,4,80,3,3,3,4,4,5,5,5,56,2,2,2,5,3,76,Gestionnaire,3,4,4,4,4,80,Fournisseur,4,4,4,4,4,,2,5,Les deux,Parler des difficultés,Regarder le travail des autres pour s'en inspirer,pouvoir copier coller corectement,,41,12,20,9,8,1,,3,2,1,0,6,0
p26,9,ALPH,julie,F,Fournisseur,62.5,3,2,3,4,3,3,3,4,100,5,5,5,5,5,5,5,5,76.25,3,4,4,3,3,3,4,3,5,4,5,5,5,1,5,4,67.5,3,2,3,4,4,3,4,4,92.5,5,5,4,5,5,5,4,4,76,4,4,4,3,4,88,Gestionnaire,5,5,4,4,4,84,Client,4,4,3,5,5,,1,5,Les deux,"Pour savoir qui faisait quoi, si tous ce passait bien, pour demander de l'aide",Voir ce que les autres ont fais et m'aider dans mon travail,une bibliothèque de shell,,23,15,6,2,2,0,,6,3,1,0,5,0
p27,9,ALPH,gisele,F,Gestionnaire,75,3,3,3,5,4,3,4,5,100,5,5,5,5,5,5,5,5,56.25,4,1,1,1,2,2,3,1,4,3,2,5,5,5,4,2,57.5,1,2,4,2,3,2,5,4,47.5,1,2,1,3,3,2,2,5,56,2,2,3,3,4,68,Client,4,3,3,3,4,68,Fournisseur,4,3,3,3,4,,2,5,Les deux,"demander quelques informations, voir l'etat d'esprit et les difficultés du groupe, nous n'avons pas assez exploité la communication","observer le travail de mes camarades, trouver des pistes et des commandes dont je ne me souvenais pas","des outils d'aide, dans le cas ou les groupes en difficulté ne soient pas complètement lésés","J'ai rencontré des difficultés pour plusieurs raisons, premièrement car j'ai sous exploité les outils de communication qui sont pourtant la base de l'exercice.
 Ensuite, en tant qu'étudiant avec quelques difficultés en shell j'aurais apprécié quelques aides au niveau des commandes car on a pas forcément envie d'embetter le groupe avec les questions basiques.",81,12,54,15,10,5,,2,2,2,0,6,0
p28,10,THAD,gontran,M,Client,87.5,5,5,5,5,1,5,4,5,77.5,4,4,4,4,4,4,4,3,67.5,4,2,2,1,2,2,3,2,5,3,4,5,5,4,5,5,62.5,3,3,4,4,3,2,3,3,65,4,5,2,3,3,2,3,4,76,4,3,5,3,4,52,Gestionnaire,2,3,2,3,3,60,Fournisseur,3,3,3,3,3,,1,3,Les deux,"Exprimer ses difficultés, aider les autres",Regarder comment les autres avaient procédé lorsque je bloquais,"Pouvoir voir plusieurs terminaux en même temps, utiliser un chat vocal",,48,30,6,12,11,1,,3,12,2,0,13,0
p29,10,THAD,guillaumme,M,Fournisseur,67.5,3,2,3,3,3,4,4,5,80,4,4,4,4,4,3,4,5,70,5,4,3,1,3,3,3,3,5,1,1,5,5,5,5,4,52.5,3,1,3,1,3,4,3,3,87.5,4,5,4,5,4,4,4,5,64,4,3,3,3,3,76,Gestionnaire,4,3,4,4,4,52,Client,3,3,1,3,3,,4,5,"L'outil de messagerie instantanée, L'outil de vue partagée, Les deux",Poser des questions aux autres membres et répondre au leurs.,"Trouver des solutions à mes propres problèmes à partir du travail des autres et avoir une idée de leur niveau, leur travail.",La rubrique justesse technique n'est selon moi pas un concept nécessaire et peut générer de la frustration quand la barre tend trop au rouge.,"L'exercice était assez difficile, le travail de groupe a aidé mais ce n'était pas suffisant pour le terminer",194,23,151,20,18,2,,9,3,4,0,7,0
p30,10,THAD,helene,F,Gestionnaire,40,2,2,2,2,2,2,2,2,57.5,4,3,3,3,3,3,2,2,55,4,1,1,1,3,2,1,2,5,1,1,5,5,5,5,2,30,1,1,1,1,1,1,5,1,67.5,3,5,2,5,3,3,3,3,44,1,2,1,3,4,60,Client,3,3,3,3,3,60,Fournisseur,3,3,3,3,3,,4,4,L'outil de messagerie instantanée,afin de s'aider pour les commandes,,,Je ne suis pas assez doué en systèmes et architectures des ordinateurs pour pouvoir realiser efficacement ce genre d'exercice.,97,37,55,5,3,2,,18,4,8,0,7,0
p31,11,SHIM,hector,M,Client,50,1,1,1,2,2,4,4,5,82.5,5,5,5,3,4,5,2,4,68.75,2,3,2,2,4,4,2,2,4,5,5,5,5,1,5,4,57.5,3,2,2,4,4,2,2,4,65,2,3,2,4,2,4,4,5,48,2,2,3,2,3,88,Fournisseur,4,3,5,5,5,40,Gestionnaire,2,3,2,1,2,,1,5,Les deux,Avoir des informations sur notre script qui n'est pas nécessaire dans le leur,savoir comment réaliser certaines tâches,Un temps imparti pour une tâche pour booster la motivation,Séparation des tâches,202,17,162,23,19,4,,5,9,3,0,0,0
p32,11,SHIM,hugues,M,Fournisseur,82.5,4,3,4,4,4,5,4,5,97.5,5,4,5,5,5,5,5,5,68.75,4,4,3,2,2,4,4,4,3,3,4,4,5,1,5,3,80,4,4,4,5,4,5,1,5,57.5,4,3,2,3,2,2,3,4,72,3,3,4,4,4,72,Gestionnaire,3,4,3,4,4,76,Client,4,4,4,3,4,,3,4,Les deux,poser des questions,regarder ou en était mes collegues,une doc avec les commandes nécessaires aux scripts peut être reparties pour chaque TD,pas particulierement,66,14,28,24,20,4,,4,5,5,0,0,0
p33,11,SHIM,jocelyne,F,Gestionnaire,67.5,3,2,4,4,4,3,4,3,80,4,4,5,4,4,4,3,4,70,2,3,3,4,3,4,4,3,5,3,4,5,5,1,5,2,52.5,3,2,3,2,3,2,3,3,72.5,5,3,3,4,3,3,4,4,76,4,4,4,3,4,72,Client,3,4,4,3,4,72,Fournisseur,4,4,3,3,4,,3,5,Les deux,pour communiquer et demander de l'aide en cas de doutes,à avoir une idée de ce qu'il fallait faire,Minimiser les barres de couleurs,Aucun,62,11,28,23,14,9,,6,3,2,0,0,0
p34,12,YEHO,justine,F,Client,40,2,2,2,2,2,2,2,2,90,5,4,5,3,4,5,5,5,72.5,3,4,4,2,3,5,3,3,3,3,2,5,5,5,5,3,52.5,3,1,3,2,3,2,4,3,90,5,4,5,4,5,4,5,4,68,3,4,4,3,3,100,Gestionnaire,5,5,5,5,5,100,Fournisseur,5,5,5,5,5,,3,5,Les deux,pour discuter et trouver des solutions ensemble,pour aider certaine personne a régler leur probleme,...,quelques problèmes aux niveaux des commande de shell,102,13,86,3,3,0,,4,3,1,0,5,0
p35,12,YEHO,laurent,M,Fournisseur,60,2,2,3,3,5,3,4,2,72.5,4,3,4,4,5,2,3,4,66.25,3,1,4,1,5,3,3,2,4,5,3,5,5,1,5,3,52.5,3,1,3,3,2,3,3,3,77.5,4,4,3,3,4,4,4,5,68,2,5,3,5,2,44,Client,2,2,1,3,3,64,Gestionnaire,2,4,3,4,3,,2,5,Les deux,"Pour posez des questions et prendre des nouvelles du travail de mes collaborateurs, savoir si ils avaient des difficultés.",Pour regarder leur fichier,Mettre un chat vocal.,"J'ai eu du mal a ""mettre a jour la quantité du produit disponible"" (commande sed que je ne maitrise pas du tout.)
 L'application est sinon bien réalisé et parfaite pour le travail de groupe !",182,42,0,140,136,4,,5,19,5,0,13,0
p36,12,YEHO,marceau,M,Gestionnaire,62.5,3,3,3,3,3,3,3,4,70,4,3,3,4,4,3,3,4,60,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,45,1,2,1,4,1,1,5,3,40,2,2,1,2,2,2,2,3,36,1,1,2,2,3,80,Fournisseur,4,4,4,4,4,80,Client,4,4,4,4,4,,2,2,Les deux,poser des questions,prendre exemple sur les autres,un chat vocal,,149,23,69,57,23,34,,4,6,2,0,11,0
p37,13,BARN,michel,M,Client,100,5,5,5,5,5,5,5,5,95,5,4,5,4,5,5,5,5,61.25,2,5,2,2,2,2,1,2,3,4,1,5,5,5,5,3,82.5,2,5,3,5,4,4,5,5,72.5,3,4,2,5,1,5,4,5,68,2,2,5,4,4,60,Fournisseur,3,3,3,3,3,40,Gestionnaire,2,2,2,2,2,,4,4,Les deux,Pour avoir des précision sur les variables de bash,pour voir l'avancement de mes collaborateurs,bloquer le ctrl-w,"Les instructions n'étaient pas très claire, on c'est plus concentré sur la réalisation du script que sur le projet lui même.",75,25,6,44,37,7,,3,16,0,0,6,0
